Champion,Rune1,Rune2,Rune3,Rune4,Rune5,Rune6,Rune7,Rune8,Rune9,Rune10,Pick Rate,Win Rate
Jax,Conqueror,Triumph,Legend: Alacrity,Last Stand,Nimbus Cloak,Transcendence,,Attack Speed,Adaptive Force,Armor,0.06%,0.5625
Jayce,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,7.14%,0.4640
Jayce,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,2.27%,0.4641
Jayce,Conqueror,Presence of Mind,Legend: Alacrity,Coup de Grace,Magical Footwear,Biscuit Delivery,,Adaptive Force,Adaptive Force,Armor,1.72%,0.5620
Jayce,Conqueror,Presence of Mind,Legend: Alacrity,Coup de Grace,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,1.62%,0.5194
Jayce,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,Magical Footwear,Biscuit Delivery,,Adaptive Force,Adaptive Force,Armor,1.10%,0.5682
Jayce,Phase Rush,Manaflow Band,Absolute Focus,Gathering Storm,Magical Footwear,Biscuit Delivery,,Adaptive Force,Adaptive Force,Armor,2.90%,0.5152
Jayce,Phase Rush,Manaflow Band,Absolute Focus,Scorch,Magical Footwear,Biscuit Delivery,,Adaptive Force,Adaptive Force,Armor,2.55%,0.5320
Jayce,Phase Rush,Manaflow Band,Absolute Focus,Gathering Storm,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,1.78%,0.5000
Jayce,Phase Rush,Manaflow Band,Absolute Focus,Scorch,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,1.68%,0.5672
Jayce,Phase Rush,Manaflow Band,Transcendence,Scorch,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,0.95%,0.5395
Jayce,Summon Aery,Manaflow Band,Absolute Focus,Scorch,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,2.22%,0.5367
